Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1964,1.645,1.645,1.311,1.311,1.311,1.307,1.303,0.977,1.303,0.974,1.299,0.971,1.279
1963,1.333,0.997,1.329,0.993,0.993,1.325,1.320,1.320,0.987,1.316,1.316,1.645,1.240
1962,0.671,1.007,1.007,1.342,1.342,1.342,1.000,1.338,1.333,1.333,1.333,1.333,1.199
1961,1.706,1.361,1.361,1.017,1.017,0.676,1.351,1.014,1.351,0.671,0.671,0.671,1.071
1960,1.034,1.730,1.730,1.724,1.724,1.718,1.370,1.370,1.024,1.361,1.361,1.361,1.458
1959,1.399,1.049,0.347,0.346,0.346,0.692,0.690,1.038,1.384,1.730,1.379,1.730,1.011
1958,3.623,3.249,3.597,3.584,3.214,2.847,2.473,2.120,2.120,2.120,2.113,1.761,2.729
1957,2.985,3.358,3.731,3.717,3.704,3.309,3.285,3.663,3.285,2.909,3.273,2.899,3.342
1956,0.375,0.375,0.375,0.749,1.124,1.873,2.239,1.866,1.859,2.230,2.230,2.985,1.525
1955,-0.743,-0.743,-0.743,-0.373,-0.743,-0.743,-0.372,-0.372,0.373,0.373,0.373,0.375,-0.279
1954,1.128,1.509,1.128,0.752,0.749,0.373,0.373,0.000,-0.372,-0.741,-0.372,-0.743,0.311
1953,0.377,0.760,1.141,0.758,1.136,1.132,0.375,0.749,0.749,1.124,0.749,0.749,0.816
1952,4.331,2.335,1.938,2.326,1.931,2.317,3.089,3.089,2.299,1.908,1.136,0.755,2.279
1951,8.085,9.362,9.322,9.322,9.283,8.824,7.469,6.584,6.967,6.504,6.883,6.000,7.860
1950,-2.083,-1.261,-0.840,-1.255,-0.420,-0.418,1.688,2.101,2.092,3.797,3.782,5.932,1.085
1949,1.266,1.277,1.709,0.420,-0.418,-0.830,-2.869,-2.857,-2.449,-2.869,-1.653,-2.075,-0.971
1948,10.233,9.302,6.849,8.676,9.132,9.545,9.910,8.889,6.522,6.087,4.762,2.991,7.689
1947,18.132,18.785,19.672,19.022,18.378,17.647,12.121,11.386,12.745,10.577,8.451,8.837,14.389
1946,2.247,1.685,2.809,3.371,3.352,3.315,9.392,11.602,12.707,14.917,17.680,18.132,8.476
1945,2.299,2.299,2.299,1.714,2.286,2.841,2.260,2.260,2.260,2.260,2.260,2.247,2.274
1944,2.959,2.959,1.163,0.575,0.000,0.571,1.724,2.312,1.724,1.724,1.724,2.299,1.637
1943,7.643,6.962,7.500,8.075,7.362,7.362,6.098,4.848,5.455,4.192,3.571,2.959,5.969
1942,11.348,12.057,12.676,12.587,13.194,10.884,11.565,10.738,9.272,9.150,9.091,9.032,10.922
1941,1.439,0.714,1.429,2.143,2.857,4.255,5.000,6.429,7.857,9.286,10.000,9.929,5.116
1940,-0.714,0.719,0.719,1.449,1.449,2.174,1.449,1.449,-0.709,0.000,0.000,0.714,0.719
1939,-1.408,-1.418,-1.418,-2.817,-2.128,-2.128,-2.128,-2.128,0.000,0.000,0.000,0.000,-1.301
1938,0.709,0.000,-0.704,-0.699,-2.083,-2.083,-2.759,-2.759,-3.425,-4.110,-3.448,-2.778,-2.028
1937,2.174,2.174,3.650,4.380,5.109,4.348,4.317,3.571,4.286,4.286,3.571,2.857,3.726
1936,1.471,0.730,0.000,-0.725,-0.725,0.730,1.460,2.190,2.190,2.190,1.449,1.449,1.032
1935,3.030,3.008,3.008,3.759,3.759,2.239,2.239,2.239,0.735,1.481,2.222,2.985,2.553
1934,2.326,4.724,5.556,5.556,5.556,5.512,2.290,1.515,3.030,2.273,2.273,1.515,3.479
1933,-9.790,-9.929,-10.000,-9.353,-8.029,-6.618,-3.676,-2.222,-1.493,-0.752,0.000,0.763,-5.192
1932,-10.063,-10.191,-10.256,-10.323,-10.458,-9.934,-9.934,-10.596,-10.667,-10.738,-10.204,-10.274,-10.301
1931,-7.018,-7.647,-7.692,-8.824,-9.467,-10.119,-9.036,-8.485,-9.639,-9.697,-10.366,-9.317,-8.932
1930,0.000,-0.585,-0.588,0.592,-0.588,-1.754,-4.046,-4.624,-4.046,-4.624,-5.202,-6.395,-2.671
1929,-1.156,0.000,-0.585,-1.170,-1.163,0.000,1.170,1.170,0.000,0.581,0.581,0.585,0.000
1928,-1.143,-1.724,-1.156,-1.156,-1.149,-2.841,-1.156,-0.581,0.000,-1.149,-0.578,-1.156,-1.152
1927,-2.235,-2.793,-2.809,-3.352,-2.247,-0.565,-1.143,-1.149,-1.143,-1.136,-2.260,-2.260,-1.930
1926,3.468,4.070,2.890,4.070,2.890,1.143,-1.130,-1.695,-1.130,-0.565,-1.667,-1.117,0.903
1925,0.000,0.000,1.170,1.176,1.765,2.941,3.509,4.118,3.509,2.907,4.651,3.468,2.433
1924,2.976,2.381,1.786,0.592,0.592,0.000,-0.581,-0.585,-0.581,-0.578,-0.578,0.000,0.440
1923,-0.592,-0.592,0.599,1.198,1.198,1.796,2.381,3.012,3.614,3.593,2.976,2.367,1.791
1922,-11.053,-8.152,-8.743,-7.735,-5.650,-5.114,-5.085,-6.215,-5.143,-4.571,-3.448,-2.312,-6.162
1921,-1.554,-5.641,-7.107,-10.837,-14.078,-15.789,-14.904,-12.808,-12.500,-12.060,-12.121,-10.825,-10.936
1920,16.970,20.370,20.122,21.557,21.893,23.669,19.540,14.689,12.360,9.945,7.027,2.646,15.625
1919,17.857,14.894,17.143,17.606,16.552,14.966,15.232,14.935,13.376,13.125,13.497,14.545,15.235
1918,19.658,17.500,16.667,12.698,13.281,13.077,17.969,18.462,18.045,18.519,20.741,20.438,17.284
1917,12.500,15.385,14.286,18.868,19.626,20.370,18.519,19.266,19.820,19.469,17.391,18.103,17.841
1916,2.970,4.000,6.061,6.000,5.941,6.931,6.931,7.921,9.901,10.784,11.650,12.621,7.667
1915,1.000,1.010,0.000,2.041,2.020,2.020,1.000,-0.980,-0.980,0.990,0.980,1.980,0.915
1914,2.041,1.020,1.020,0.000,2.062,1.020,1.010,3.030,2.000,1.000,0.990,1.000,1.349
